release_day,title,video_url,instructions,solution,filename
0,Week 1 Overview Lesson 1: Debugging,https://vimeo.com/841343889/e2d322cb20,,,
0,Week 1 Overview Lesson 2: Coding environment,https://vimeo.com/841388530/1f52ef6514,"Install the VSCode text editor: https://code.visualstudio.com/  
Follow the steps in the video to make a test Ruby file and run it in the terminal.",,
0,Week 1 Overview Lesson 3: Version control,https://vimeo.com/841390794/180c74507f,"Install git by following the first part of the video.  
Make a GitHub account: https://github.com/  
Install GitHub Desktop on your computer: https://desktop.github.com/

Use GitHub Desktop to make a new repository called `prework-exercises`.  
Open the repository in your text editor, make a new file called `test.rb`  
Write some Ruby code:
```
puts 10
```
Use GitHub Desktop to commit your changes and publish your repository.

Open your GitHub repository in your web browser and add your instructor as a collaborator.",,
0,Week 1 Overview Lesson 4: Instructor feedback,https://vimeo.com/841396051/bffa0be03b,"In your prework-exercises repository, make a file called `about.txt`.  
Write a brief introduction about yourself (a couple of sentences) describing your background and why you're interested in learning programming. Here's an example:
```My name is Babe Ruth. I've been playing professional baseball for the past 
number of years, but I'm finding that I've reached the top of the career 
ladder in my field. I'm looking to transition into a position in web development, 
because I find that it's a career in which I can truly express my creativity. 
I was always interested in coding, but was never able to get into it because 
computers haven't been invented yet. This is my chance to finally jump into it, 
and hopefully land a job at my dream company: MySpace.
```
Use GitHub Desktop to commit your changes and publish your repository.",,about.txt
1,Week 1 Day 1 Lesson 1: Integers and floats to represent numbers,https://vimeo.com/841390922/b6eb4a0f0f,"In your prework-exercises repository, make a file called `111.rb`  
(the numbers stand for week 1, day 1, lesson 1 - [example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write code to print out the numbers 4, 30, 12, 983 on separate lines. 
# For this exercise, you are required to use addition, subtraction, multiplication, and division at least once.


# QUESTION 2
# Write code using addition, subtraction, multiplication, or division with numbers that causes the computer to crash.
# Add a comment with a copy of the error message.
# Add a comment that describes the error message in your own words.
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Write code to print out the numbers 4, 30, 12, 983 on separate lines. 
# For this exercise, you are required to use addition, subtraction, multiplication, and division at least once.
puts 2 + 2
puts 3 * 10
puts 15 - 3
puts 983 / 1

# QUESTION 2
# Write code using addition, subtraction, multiplication, or division with numbers that causes the computer to crash.
# Add a comment with a copy of the error message.
# Add a comment that describes the error message in your own words.
puts 9 / 0 
# divided by 0 (ZeroDivisionError)
# This is saying you can't divide by 0 in math",111.rb
1,Week 1 Day 1 Lesson 2: Strings to represent letters,https://vimeo.com/841390946/7cdccb6a98,"In your `prework-exercises` repository, make a file called `112.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write code to print hellohellohello using string addition.
# Then write code to print hellohellohello again, this time using string multiplication.


# QUESTION 2
# Read the code below and predict which lines will crash. 
# Then run the code and remove the invalid lines one at a time, until only the valid code remains.
puts 9 + 3
puts ""9"" + 3
puts 9 + ""3""
puts ""9"" + ""3""
puts 9 - 3
puts ""9"" - 3
puts 9 - ""3""
puts 9 * 3
puts ""9"" * 3
puts 9 * ""3""
puts ""9"" * ""3""
puts 9 / 3
puts ""9"" / 3
puts 9 / ""3""
puts ""9"" / ""3""
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Write code to print hellohellohello using string addition.
# Then write code to print hellohellohello again, this time using string multiplication.
puts ""hello"" + ""hello"" + ""hello""
puts ""hello"" * 3

# QUESTION 2
# Read the code below and predict which lines will crash. 
# Then run the code and remove the invalid lines one at a time, until only the valid code remains.
puts 9 + 3
puts ""9"" + ""3""
puts 9 - 3
puts 9 * 3
puts ""9"" * 3
puts 9 / 3",112.rb
1,Week 1 Day 1 Lesson 3: Variables to store information,https://vimeo.com/841390963/3afa840d09,"In your `prework-exercises` repository, make a file called `113.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write code to store 3 different numbers in three different variables.
# Then write the code to print the three variables added together.


# QUESTION 2
# If you run the code below, it will crash due to invalid variable names. 
# Find the invalid variable names and delete the special characters 
# (be sure to leave the special characters in the valid variable names alone).
bob7 = 50
7bob = 50
bob@ = 50
@bob = 50
bob_ = 50
_bob = 50
bob$ = 50
$bob = 50
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Write code to store 3 different numbers in three different variables.
# Then write the code to print the three variables added together.
x = 1
y = 2
z = 3
puts x + y + z

# QUESTION 2
# If you run the code below, it will crash due to invalid variable names. 
# Find the invalid variable names and delete the special characters 
# (be sure to leave the special characters in the valid variable names alone).
bob7 = 50
bob = 50
bob = 50
@bob = 50
bob_ = 50
_bob = 50
bob = 50
$bob = 50",113.rb
1,Week 1 Day 1 Lesson 4: Changing variable values,https://vimeo.com/841390994/5cb97ae717,"In your `prework-exercises` repository, make a file called `114.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# In this code, the variable z is printed out on lines 4 and 6. 
# Predict what will print out to the terminal, then run the code to see if you were right. 
# Explain in your own words exactly why those values were printed to the terminal.
x = 40
y = 3
z = x + y
puts z
x = 60
puts z


# QUESTION 2
# Write comments for the remaining lines to describe in your own words 
# what is happening line by line with the following code.
mars = 4               # Make a variable called mars and set the value to 4
mars = 2 * mars        # 
pluto = 7              # 
mars = mars - pluto    # 
pluto = pluto + mars   # 
puts mars              # 
puts pluto             # 
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# In this code, the variable z is printed out on lines 4 and 6. 
# Predict what will print out to the terminal, then run the code to see if you were right. 
# Explain in your own words exactly why those values were printed to the terminal.
x = 40
y = 3
z = x + y
puts z
x = 60
puts z
# on line 7 z is 43
# when x changes on line 9 it doesn't affect z
# so on line 10 z is still 43 


# QUESTION 2
# Write comments for the remaining lines to describe in your own words 
# what is happening line by line with the following code.
mars = 4               # Make a variable called mars and set the value to 4
mars = 2 * mars        # Change mars to twice its initial value (8)
pluto = 7              # Make a variable called pluto and set it to 7
mars = mars - pluto    # Change mars to its current value (8) minus pluto (7), which is 1
pluto = pluto + mars   # Change pluto to its current value (7) plus mars (1), which is 8
puts mars              # Print 1
puts pluto             # Print 8",114.rb
1,Week 1 Day 1 Optional Additional Resources,,"Read the following chapters of the ""Learn to Program"" book to review numbers, letters, and variables.
- https://pine.fm/LearnToProgram/chap_01.html
- https://pine.fm/LearnToProgram/chap_02.html
- https://pine.fm/LearnToProgram/chap_03.html",,
2,Week 1 Day 2 Lesson 1: Methods,https://vimeo.com/841391034/2cf521c061,"In your `prework-exercises` repository, make a file called `121.rb` ([example video](/create_a_ruby_file.gif)).  Paste the code below and answer the following questions:
```
# QUESTION 1
# Write example code to demonstrate three string methods you've never 
# worked with before from the Ruby documentation. 
# Write a comment for each method describing how it works in your own words.


# QUESTION 2
# Write example code that crashes using an integer method from the Ruby documentation. 
# Write a comment describing the error message in your own words.
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Write example code to demonstrate three string methods you've never 
# worked with before from the Ruby documentation. 
# Write a comment for each method describing how it works in your own words.
puts ""HELLO"".delete(""L"") # This deletes all occurrences of ""L"" from the string
puts ""HELLO"".insert(0, ""W"") # This inserts ""W"" at the given index
puts ""HELLO"".rjust(10) # This adds spaces to the right of the string to make it 10 characters long

# QUESTION 2
# Write example code that crashes using an integer method from the Ruby documentation. 
# Write a comment describing the error message in your own words.
puts 10.pow(""a"")
# String can't be coerced into Integer (TypeError)
# The .pow method needs an integer as an argument",121.rb
